dataset,mu_size,nu_size,cost,iterations,error,time_unit,time,time_counter,gpu_mem_unit,peak_gpu_mem,combined_peak_gpu_ram,peak_gpu_util_pct,mean_gpu_util_pct,peak_ram_MiB,combined_peak_ram_MiB,max_cpu_util_pct,mean_cpu_util_pct,status,name,reg,maxiter,exception
3D-gen-hyperb-mixture-2c-32p,32768,32768,0.7457435795965501,11,1.1167853738228666e-16,seconds,0.49065399169921875,0.3316317852586508,megabytes,25288.0,25288.0,100.0,100.0,0.035786752000000005,0.035786752000000005,0.76171875,0.475,success,sinkhorn-normed,1.0,1000000,
3D-gen-hyperb-mixture-2c-32p,32768,32768,0.7845035895736262,11,8.990345664807589e-17,seconds,0.7570102214813232,0.5932257920503616,megabytes,25288.0,25288.0,100.0,92.5,0.036306944,0.036306944,0.63046875,0.3890625,success,sinkhorn-normed,1.0,1000000,
3D-gen-hyperb-mixture-2c-32p,32768,32768,0.6527407410442859,11,6.731308735845727e-17,seconds,0.3725740909576416,0.2912095123901963,megabytes,25286.0,25286.0,100.0,100.0,0.022011904000000002,0.022011904000000002,0.61484375,0.61484375,success,sinkhorn-normed,1.0,1000000,
3D-gen-hyperb-mixture-2c-32p,32768,32768,0.3257718246694823,11,2.4610575498451973e-16,seconds,0.5476205348968506,0.41791713517159224,megabytes,33446.0,33446.0,100.0,96.5,0.036380672,0.036380672,0.6328125,0.459375,success,sinkhorn-normed,1.0,1000000,
3D-gen-hyperb-mixture-2c-32p,32768,32768,0.5689575153066242,11,6.176187371429236e-17,seconds,0.738386869430542,0.6041726842522621,megabytes,33444.0,33444.0,100.0,94.0,0.036151296,0.036151296,0.7546875,0.410546875,success,sinkhorn-normed,1.0,1000000,
3D-gen-hyperb-mixture-2c-32p,32768,32768,0.8201841484092172,11,1.612150842065446e-16,seconds,0.25823426246643066,0.27113109175115824,megabytes,25288.0,25288.0,100.0,100.0,0.021946368,0.021946368,0.7671875,0.7671875,success,sinkhorn-normed,1.0,1000000,
3D-gen-hyperb-mixture-2c-32p,32768,32768,1.0905186150004282,11,1.1035455372975411e-16,seconds,0.6804239749908447,0.5002490039914846,megabytes,25286.0,25286.0,100.0,100.0,0.036298752000000004,0.036298752000000004,0.39453125,0.268359375,success,sinkhorn-normed,1.0,1000000,
3D-gen-hyperb-mixture-2c-32p,32768,32768,0.46710673197546,11,2.2874748418570945e-16,seconds,0.4589385986328125,0.2961855912581086,megabytes,25288.0,25288.0,100.0,100.0,0.03612672,0.03612672,0.753125,0.43867187500000004,success,sinkhorn-normed,1.0,1000000,
3D-gen-hyperb-mixture-2c-32p,32768,32768,0.9792090161314007,11,7.242055163219199e-17,seconds,0.6799516677856445,0.49931310676038265,megabytes,33444.0,33444.0,100.0,99.0,0.036442112000000006,0.036442112000000006,0.8015625,0.46640624999999997,success,sinkhorn-normed,1.0,1000000,
3D-gen-hyperb-mixture-2c-32p,32768,32768,0.5520897258680459,11,5.507362641656785e-17,seconds,0.330700159072876,0.2987594557926059,megabytes,25288.0,25288.0,100.0,100.0,0.021819392,0.021819392,0.69453125,0.69453125,success,sinkhorn-normed,1.0,1000000,
3D-gen-hyperb-mixture-2c-32p,32768,32768,0.7667488126447248,11,2.361957495463082e-16,seconds,0.47187328338623047,0.2937344629317522,megabytes,25286.0,25286.0,100.0,100.0,0.036020224,0.036020224,0.753125,0.44960937500000003,success,sinkhorn-normed,1.0,1000000,
3D-gen-hyperb-mixture-2c-32p,32768,32768,0.3729031368749234,11,1.262157814011081e-16,seconds,0.7766060829162598,0.59995221439749,megabytes,25288.0,25288.0,100.0,100.0,0.035549184000000005,0.035549184000000005,0.78203125,0.42851562499999996,success,sinkhorn-normed,1.0,1000000,
3D-gen-hyperb-mixture-2c-32p,32768,32768,0.5941920422228152,11,1.5930100073449704e-16,seconds,0.3104701042175293,0.2861640965566039,megabytes,25286.0,25286.0,100.0,100.0,0.021663744000000002,0.021663744000000002,0.69921875,0.69921875,success,sinkhorn-normed,1.0,1000000,
3D-gen-hyperb-mixture-2c-32p,32768,32768,0.6388498336850424,11,1.6905055295496555e-16,seconds,0.855072021484375,0.3224832499399781,megabytes,25288.0,25288.0,100.0,100.0,0.035840000000000004,0.035840000000000004,0.778125,0.40976562499999997,success,sinkhorn-normed,1.0,1000000,
3D-gen-hyperb-mixture-2c-32p,32768,32768,0.6265122499065172,11,5.908183066262158e-17,seconds,0.7114417552947998,0.5284935487434268,megabytes,33444.0,33444.0,100.0,97.5,0.036716544000000004,0.036716544000000004,0.73046875,0.428125,success,sinkhorn-normed,1.0,1000000,
3D-gen-hyperb-mixture-2c-32p,32768,32768,0.8157162733803964,11,6.933177183399672e-17,seconds,0.7210421562194824,0.3498193146660924,megabytes,25288.0,25288.0,100.0,100.0,0.036691968000000005,0.036691968000000005,0.73515625,0.38671875,success,sinkhorn-normed,1.0,1000000,
3D-gen-hyperb-mixture-2c-32p,32768,32768,1.3393663224861467,11,1.2373585697795463e-16,seconds,0.6248948574066162,0.35982652474194765,megabytes,25286.0,25286.0,100.0,100.0,0.036450304,0.036450304,0.60859375,0.404296875,success,sinkhorn-normed,1.0,1000000,
