dataset,mu_size,nu_size,cost,cost_normed,cost_diff,iterations,error,time_unit,time,time_counter,gpu_mem_unit,peak_gpu_mem,combined_peak_gpu_ram,peak_gpu_util_pct,mean_gpu_util_pct,peak_ram_MiB,combined_peak_ram_MiB,max_cpu_util_pct,mean_cpu_util_pct,status,name,reg,maxiter
1D-gaussian-1c-1024p,1024,1024,0.06068028666212803,0.015170071665532008,0.04551021499659602,1000000,0.020235440097288965,seconds,57.77048993110657,57.75639924407005,megabytes,580.0,580.0,75.0,74.0891472868217,0.12259737600000001,0.12259737600000001,0.81796875,0.780368822674419,success,sinkhorn-normed-log,1e-08,1000000
1D-gaussian-1c-1024p,1024,1024,0.05972122732892185,0.014930306832230462,0.04479092049669139,1000000,0.020407397647275727,seconds,57.80103039741516,57.7440453581512,megabytes,580.0,580.0,76.0,74.27131782945736,0.12260966400000001,0.12260966400000001,0.82109375,0.7786064680232558,success,sinkhorn-normed-log,1e-08,1000000
1D-gaussian-1c-1024p,1024,1024,0.054125553172502186,0.013531388293125547,0.04059416487937664,1000000,0.01861511422012868,seconds,57.76417517662048,57.66680651344359,megabytes,580.0,580.0,77.0,74.7085020242915,0.12253184,0.12253184,0.81171875,0.7769926619433198,success,sinkhorn-normed-log,1e-08,1000000
1D-gaussian-1c-1024p,1024,1024,0.03670801286920824,0.00917700321730206,0.027531009651906177,1000000,0.015901717387310485,seconds,57.8048038482666,57.77060283720493,megabytes,580.0,580.0,77.0,74.61264822134387,0.122626048,0.122626048,0.81875,0.7781991106719366,success,sinkhorn-normed-log,1e-08,1000000
1D-gaussian-1c-1024p,1024,1024,0.00808768802727258,0.002021922006818145,0.006065766020454434,1000000,0.00787554037443547,seconds,57.833770513534546,57.65615100413561,megabytes,580.0,580.0,78.0,74.43426294820718,0.122753024,0.122753024,0.82578125,0.7777950697211153,success,sinkhorn-normed-log,1e-08,1000000
1D-gaussian-1c-1024p,1024,1024,0.09182736158236432,0.02295684039559108,0.06887052118677324,1000000,0.024248582844716156,seconds,57.78227114677429,57.623575769364834,megabytes,580.0,580.0,78.0,74.50403225806451,0.122728448,0.122728448,0.8390625,0.7769688760080646,success,sinkhorn-normed-log,1e-08,1000000
1D-gaussian-1c-1024p,1024,1024,0.17178310395336338,0.042945775988340845,0.12883732796502254,1000000,0.033328426336680886,seconds,57.43757629394531,57.450321424752474,megabytes,580.0,580.0,77.0,74.652,0.122626048,0.122626048,0.815625,0.7788343749999997,success,sinkhorn-normed-log,1e-08,1000000
1D-gaussian-1c-1024p,1024,1024,0.03898984154860681,0.009747460387151703,0.029242381161455108,1000000,0.016570705615815497,seconds,57.74716019630432,57.67541102692485,megabytes,580.0,580.0,76.0,74.47058823529412,0.122658816,0.122658816,0.81484375,0.7783057598039216,success,sinkhorn-normed-log,1e-08,1000000
1D-gaussian-1c-1024p,1024,1024,0.008443148732714557,0.002110787183178639,0.0063323615495359175,1000000,0.007104401286203172,seconds,57.7279953956604,57.664989499375224,megabytes,580.0,580.0,76.0,74.47389558232932,0.122671104,0.122671104,0.81953125,0.7785673945783136,success,sinkhorn-normed-log,1e-08,1000000
1D-gaussian-1c-1024p,1024,1024,0.12110101672776602,0.030275254181941505,0.09082576254582451,1000000,0.027697114959440577,seconds,57.80842113494873,57.78416965901852,megabytes,580.0,580.0,78.0,74.56640625,0.122671104,0.122671104,0.815625,0.7767608642578125,success,sinkhorn-normed-log,1e-08,1000000
1D-gaussian-1c-1024p,1024,1024,0.18499248208079513,0.046248120520198784,0.13874436156059636,1000000,0.033944431634137996,seconds,57.833019495010376,57.73084623552859,megabytes,580.0,580.0,76.0,74.35546875,0.12260966400000001,0.12260966400000001,0.8203125,0.7791809082031246,success,sinkhorn-normed-log,1e-08,1000000
1D-gaussian-1c-1024p,1024,1024,0.012857742114648065,0.0032144355286620164,0.009643306585986049,1000000,0.009188601097025066,seconds,57.646395206451416,57.592768812552094,megabytes,580.0,580.0,77.0,74.8069498069498,0.12267929600000001,0.12267929600000001,0.8234375,0.7791113658301162,success,sinkhorn-normed-log,1e-08,1000000
1D-gaussian-1c-1024p,1024,1024,0.3696830065084072,0.0924207516271018,0.2772622548813054,1000000,0.04683590636716902,seconds,57.67030882835388,57.62581708095968,megabytes,580.0,580.0,76.0,74.36,0.122621952,0.122621952,0.82265625,0.7771531249999998,success,sinkhorn-normed-log,1e-08,1000000
1D-gaussian-1c-1024p,1024,1024,3.822158772788902e-06,9.555396931972256e-07,2.8666190795916767e-06,1000000,0.0004493811618248317,seconds,57.749314308166504,57.71939582936466,megabytes,580.0,580.0,78.0,74.6,0.12263833600000001,0.12263833600000001,0.8203125,0.7782271634615376,success,sinkhorn-normed-log,1e-08,1000000
1D-gaussian-1c-1024p,1024,1024,0.006742288078023683,0.0016855720195059207,0.005056716058517762,1000000,0.006324032275894005,seconds,57.699732542037964,57.64159842953086,megabytes,580.0,580.0,76.0,74.28571428571429,0.12272435200000001,0.12272435200000001,0.8140625,0.7775297619047629,success,sinkhorn-normed-log,1e-08,1000000
1D-gaussian-1c-1024p,1024,1024,0.05143097787871462,0.012857744469678654,0.03857323340903596,1000000,0.019015092150905476,seconds,57.37569236755371,57.29357595182955,megabytes,580.0,580.0,78.0,75.34854771784232,0.12263833600000001,0.12263833600000001,0.8125,0.7782092842323651,success,sinkhorn-normed-log,1e-08,1000000
1D-gaussian-1c-1024p,1024,1024,0.0005503908635120027,0.00013759771587800067,0.000412793147634002,1000000,0.0018757159600603457,seconds,57.58289957046509,57.49015627987683,megabytes,580.0,580.0,76.0,74.7469387755102,0.122753024,0.122753024,0.8171875,0.7783354591836735,success,sinkhorn-normed-log,1e-08,1000000
1D-gaussian-1c-1024p,1024,1024,0.06262224923621647,0.015655562309054117,0.046966686927162354,1000000,0.020800609937824108,seconds,57.772406339645386,57.653847290202975,megabytes,580.0,580.0,77.0,74.52631578947368,0.122658816,0.122658816,0.8171875,0.7771571356275303,success,sinkhorn-normed-log,1e-08,1000000
1D-gaussian-1c-1024p,1024,1024,0.3485961688385758,0.08714904220964395,0.2614471266289319,1000000,0.045686832686587964,seconds,57.77184748649597,57.59092682227492,megabytes,580.0,580.0,76.0,74.5,0.12303564800000001,0.12303564800000001,0.8125,0.7753968253968259,success,sinkhorn-normed-log,1e-08,1000000
1D-gaussian-1c-1024p,1024,1024,0.2021921991613795,0.05054804979034488,0.15164414937103463,1000000,0.035998401813138486,seconds,57.674898624420166,57.65916176326573,megabytes,580.0,580.0,77.0,74.69140625,0.12275712000000001,0.12275712000000001,0.8203125,0.7778564453124996,success,sinkhorn-normed-log,1e-08,1000000
